performance_id,student_id,subject_name,studytime,failures,absences,final_marks,gpa,university_name
1,S0001,Engineering Mathematics,1,2,10,53,6.0,GSR University
2,S0001,Data Visualization,1,2,10,57,6.0,GSR University
3,S0001,Computer Networking,1,2,10,45,5.0,GSR University
4,S0002,Programming,1,2,21,36,4.0,GSR University
5,S0002,Computer Networking,1,2,21,94,10.0,GSR University
6,S0002,Engineering Mathematics,1,2,21,55,6.0,GSR University
7,S0003,Data Visualization,2,1,28,93,10.0,GSR University
8,S0003,Computer Networking,2,1,28,76,8.0,GSR University
9,S0003,Engineering Drawing,2,1,28,62,7.0,GSR University
10,S0004,Programming,3,1,29,91,10.0,GSR University
11,S0004,Data Visualization,3,1,29,37,4.0,GSR University
12,S0004,Engineering Drawing,3,1,29,71,8.0,GSR University
13,S0005,Computer Networking,1,0,6,48,5.0,GSR University
14,S0005,Engineering Drawing,1,0,6,84,9.0,GSR University
15,S0005,Programming,1,0,6,92,10.0,GSR University
16,S0006,Programming,1,1,19,42,5.0,GSR University
17,S0006,Data Visualization,1,1,19,81,9.0,GSR University
18,S0006,Engineering Drawing,1,1,19,69,7.0,GSR University
19,S0007,Programming,4,1,7,88,9.0,GSR University
20,S0007,Computer Networking,4,1,7,76,8.0,GSR University
21,S0007,Engineering Drawing,4,1,7,38,4.0,GSR University
22,S0008,Programming,3,1,25,70,8.0,GSR University
23,S0008,Computer Networking,3,1,25,48,5.0,GSR University
24,S0008,Engineering Drawing,3,1,25,65,7.0,GSR University
25,S0009,Computer Networking,2,2,27,79,8.0,GSR University
26,S0009,Engineering Mathematics,2,2,27,52,6.0,GSR University
27,S0009,Engineering Drawing,2,2,27,81,9.0,GSR University
28,S0010,Data Visualization,2,0,27,63,7.0,GSR University
29,S0010,Computer Networking,2,0,27,49,5.0,GSR University
30,S0010,Programming,2,0,27,79,8.0,GSR University
31,S0011,Data Visualization,3,0,23,85,9.0,GSR University
32,S0011,Engineering Drawing,3,0,23,51,6.0,GSR University
33,S0011,Computer Networking,3,0,23,42,5.0,GSR University
34,S0012,Engineering Mathematics,1,2,4,62,7.0,GSR University
35,S0012,Programming,1,2,4,41,5.0,GSR University
36,S0012,Engineering Drawing,1,2,4,43,5.0,GSR University
37,S0013,Engineering Mathematics,1,2,22,69,7.0,GSR University
38,S0013,Programming,1,2,22,35,4.0,GSR University
39,S0013,Data Visualization,1,2,22,69,7.0,GSR University
40,S0014,Engineering Mathematics,2,2,0,48,5.0,GSR University
41,S0014,Programming,2,2,0,73,8.0,GSR University
42,S0014,Computer Networking,2,2,0,61,7.0,GSR University
43,S0015,Data Visualization,3,1,9,66,7.0,GSR University
44,S0015,Engineering Drawing,3,1,9,73,8.0,GSR University
45,S0015,Computer Networking,3,1,9,83,9.0,GSR University
46,S0016,Data Visualization,4,1,4,70,8.0,GSR University
47,S0016,Programming,4,1,4,47,5.0,GSR University
48,S0016,Engineering Mathematics,4,1,4,66,7.0,GSR University
49,S0017,Computer Networking,3,1,27,91,10.0,GSR University
50,S0017,Engineering Mathematics,3,1,27,87,9.0,GSR University
51,S0017,Programming,3,1,27,40,5.0,GSR University
52,S0018,Engineering Drawing,4,1,29,62,7.0,GSR University
